species,p,lon,lat,Presence,bio_15,bio_19,bio_3,bio_4,CST,HII,LUCC,PC,s01,s02,s03,s04,s05,s06,s07,s08
Q.aquifolioides,0.497315168,101.3430469,30.04715275,1,97,16,44,5872,9,9,22,0.000567083,0.034607999,-0.052923001,0.015928,0.034251999,0.028272999,0.055199999,0.033686999,-0.019788999
Q.aquifolioides,0.582506776,101.3622011,29.62047966,1,94,12,45,5602,9,14,21,6.85E-05,0.013814,-0.047014002,0.020741001,0.052762002,0.001158,0.047345001,0.035737999,-0.00408
Q.aquifolioides,0.435102284,101.3836169,30.04846061,1,97,16,43,5880,9,9,32,4.52E-05,0.034607999,-0.052923001,0.015928,0.034251999,0.028272999,0.055199999,0.033686999,-0.019788999
Q.aquifolioides,0.506011605,101.410343,29.15802846,1,99,13,46,5493,11,12,22,-0.00105071,0.002587,-0.036325,0.025954001,0.059769999,-0.011383,0.030138999,0.021134,0.010115
Q.aquifolioides,0.287949115,101.4396648,27.27583708,1,102,17,48,4663,9,10,31,-0.000286438,-0.014286,0.021108,0.040917002,0.021253999,0.014983,-0.054281,-0.017495999,0.011084
Q.aquifolioides,0.285997421,101.4450307,29.29204383,1,100,15,45,5610,11,12,46,0.000546528,0.007879,-0.042224001,0.023092,0.056857999,-0.006005,0.039841998,0.029571,0.003099
Q.aquifolioides,0.581269383,101.472171,30.05928311,1,93,14,43,5831,9,14,23,-0.000614594,0.034607999,-0.052923001,0.015928,0.034251999,0.028272999,0.055199999,0.033686999,-0.019788999
Q.aquifolioides,0.441653848,101.5121802,29.00585108,1,96,12,48,5182,9,16,21,0.000240455,-0.000405,-0.023228001,0.030270999,0.061597001,-0.009127,0.011522,0.009955,0.004786
Q.aquifolioides,0.529424489,101.5139937,29.80674003,1,92,14,44,5679,9,14,33,1.65E-05,0.020772999,-0.04197,0.018199001,0.046250999,0.013173,0.049201,0.03286,-0.015379
Q.aquifolioides,0.389026225,101.5242596,27.40397023,1,101,15,49,4646,9,31,11,0.000175445,-0.012336,0.021201,0.042073,0.030440999,0.015305,-0.062112,-0.019221,-0.006013
Q.aquifolioides,0.31629163,101.5324688,32.61067651,1,88,15,45,6671,7,14,12,-0.000616605,0.052715,0.014665,-0.019374,-0.008522,0.00422,-0.008667,-0.042227998,0.020610999
Q.aquifolioides,0.567954004,101.5332691,29.4780529,1,97,15,45,5605,9,14,22,-0.000317963,0.014526,-0.038851999,0.020519,0.051135,0.005373,0.043000001,0.030719999,-0.009753
